Code,Title,2010,2011,2012,2013,2014,2015,2016,2017
284,"Hot Springs-Malvern, AR CSA",129304,129963,130461,131133,131116,131212,131677,132232
288,"Houston-The Woodlands, TX CSA",6142080,6252940,6378210,6525212,6693117,6862422,6997796,7093190
290,"Huntsville-Decatur-Albertville, AL CSA",737526,744346,748917,753585,758334,762484,767542,774480
292,"Idaho Falls-Rexburg-Blackfoot, ID CSA",230401,231795,232274,232618,233721,235159,239329,243805
294,"Indianapolis-Carmel-Muncie, IN CSA",2271407,2290371,2309296,2334425,2352757,2369035,2387851,2411086
296,"Ithaca-Cortland, NY CSA",151041,151360,152091,153055,153028,152577,152495,152588
297,"Jackson-Brownsville, TN CSA",148843,148249,148401,148582,147974,147157,146886,146808
298,"Jackson-Vicksburg-Brookhaven, MS CSA",662163,666960,668842,669379,670392,669935,670132,668780
300,"Jacksonville-St. Marys-Palatka, FL-GA CSA",1473774,1485905,1502324,1517985,1541649,1570405,1601323,1631488
304,"Johnson City-Kingsport-Bristol, TN-VA CSA",508504,508492,508811,508106,507114,506399,507236,508712
306,"Johnstown-Somerset, PA CSA",221233,219865,218569,215428,213678,211407,209383,207555
308,"Jonesboro-Paragould, AR CSA",163455,165501,167344,168830,170442,172608,174504,176322
309,"Joplin-Miami, MO-OK CSA",207689,208477,206490,207247,207770,208538,209040,209819
310,"Kalamazoo-Battle Creek-Portage, MI CSA",524087,524438,525851,527685,529340,529477,531267,533413
312,"Kansas City-Overland Park-Kansas City, MO-KS CSA",2347473,2360911,2376517,2392977,2409480,2425469,2448372,2472602
314,"Knoxville-Morristown-Sevierville, TN CSA",1078556,1084201,1089869,1095102,1100802,1107339,1116513,1128379
316,"Kokomo-Peru, IN CSA",119562,119424,119343,118878,118641,118326,118406,118208
318,"Lafayette-Opelousas-Morgan City, LA CSA",605709,608258,611302,616769,622042,626586,627523,626028
320,"Lafayette-West Lafayette-Frankfort, IN CSA",235330,237507,240274,243015,244874,247068,249563,251556
324,"Lake Charles-Jennings, LA CSA",231577,232065,232574,233508,234806,236785,238888,240834
330,"Lansing-East Lansing-Owosso, MI CSA",534800,535949,535959,536696,538355,539534,542851,546102
332,"Las Vegas-Henderson, NV-AZ CSA",2197068,2213256,2243184,2272006,2311215,2357906,2405508,2455481
336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",689075,696145,703002,708741,715274,723620,731931,740364
338,"Lima-Van Wert-Celina, OH CSA",221745,221057,220344,219777,219625,218837,218299,218066
339,"Lincoln-Beatrice, NE CSA",325249,328652,332217,336248,341391,345171,349242,353120
340,"Little Rock-North Little Rock, AR CSA",879674,887199,892809,896663,900581,902925,904711,908323
346,"Longview-Marshall, TX CSA",280483,282340,282935,282519,283071,283922,284044,284142
348,"Los Angeles-Long Beach, CA CSA",17910139,18068724,18218086,18350566,18479970,18605623,18703010,18788800
350,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",1463445,1472152,1480714,1492372,1499864,1503503,1511549,1522112
352,"Lubbock-Levelland, TX CSA",315077,318242,320965,324658,329694,333440,337116,340071
356,"Macon-Bibb County--Warner Robins, GA CSA",412695,416230,418266,417684,418080,417963,419231,420693
357,"Madison-Janesville-Beloit, WI CSA",828913,835394,842416,849751,856899,863565,872457,880520
358,"Manhattan-Junction City, KS CSA",128540,130653,137626,136160,135498,136462,133349,131935
359,"Mankato-New Ulm-North Mankato, MN CSA",122683,122959,123394,122993,123858,124287,125162,126133
360,"Mansfield-Ashland-Bucyrus, OH CSA",221242,219685,218636,218130,217458,217142,216621,215963
362,"Martin-Union City, TN-KY CSA",73669,73268,72417,71542,71069,70674,70274,69914
365,"McAllen-Edinburg, TX CSA",840160,856221,868548,879816,892124,903625,914118,925115
366,"Medford-Grants Pass, OR CSA",286200,287273,288500,290263,292490,296290,300044,303831
368,"Memphis-Forrest City, TN-MS-AR CSA",1354475,1360318,1368144,1368466,1369500,1370075,1371497,1374190
370,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",6187386,6303591,6393310,6481330,6571630,6667130,6764075,6828241
372,"Midland-Odessa, TX CSA",278867,284672,296706,307244,316602,327523,326741,327762
376,"Milwaukee-Racine-Waukesha, WI CSA",2026737,2031533,2037918,2041963,2045700,2046121,2045901,2048007
378,"Minneapolis-St. Paul, MN-WI CSA",3691451,3725607,3759273,3796534,3832863,3863249,3900891,3946533
380,"Mobile-Daphne-Fairhope, AL CSA",596430,599766,603785,608665,613378,617451,622361,626583
382,"Modesto-Merced, CA CSA",772014,777641,782756,787337,794825,802406,810231,820572
384,"Monroe-Ruston-Bastrop, LA CSA",251536,251877,252236,252758,252933,253353,253107,251830
390,"Morgantown-Fairmont, WV CSA",186874,188978,191105,192217,193593,194435,194959,195046
393,"Moses Lake-Othello, WA CSA",108360,109541,110420,110963,112035,112581,113166,114664
394,"Mount Pleasant-Alma, MI CSA",112715,112658,112526,111994,111371,111945,112065,112081
396,"Myrtle Beach-Conway, SC-NC CSA",438682,445959,453751,464397,477038,492812,509167,525772
400,"Nashville-Davidson--Murfreesboro, TN CSA",1793491,1815964,1844948,1876466,1912475,1950397,1991227,2027489
404,"New Bern-Morehead City, NC CSA",194121,195611,196206,195592,195496,194293,194136,193745
406,"New Orleans-Metairie-Hammond, LA-MS CSA",1419759,1438996,1453244,1467912,1480063,1493591,1503314,1510162
408,"New York-Newark, NY-NJ-CT-PA CSA",23118307,23292725,23434849,23565018,23672464,23761655,23822395,23876155
412,"North Port-Sarasota, FL CSA",898188,904481,918444,932056,951787,976506,1002524,1023585
416,"Oklahoma City-Shawnee, OK CSA",1327379,1346155,1367534,1390353,1407254,1427578,1444445,1455963
420,"Omaha-Council Bluffs-Fremont, NE-IA CSA",904721,913596,922092,931590,940832,950810,960570,970023
422,"Orlando-Deltona-Daytona Beach, FL CSA",2824111,2866364,2924358,2979798,3049657,3130489,3212297,3284198
423,"Oskaloosa-Pella, IA CSA",55631,55752,55659,55415,55612,55417,55355,55340
424,"Paducah-Mayfield, KY-IL CSA",135927,136447,135933,135137,135147,134218,134231,134158
425,"Parkersburg-Marietta-Vienna, WV-OH CSA",154408,154208,153791,153675,153360,153061,152023,151316
426,"Pensacola-Ferry Pass, FL-AL CSA",489293,493295,499700,504961,508611,513561,519250,525231
427,"Peoria-Canton, IL CSA",416056,416571,416723,417882,415404,413021,411117,407537
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",7074853,7103188,7131172,7146719,7165797,7177952,7186302,7206807
430,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",2661153,2662135,2661020,2659619,2654449,2644944,2633665,2623639
438,"Portland-Lewiston-South Portland, ME CSA",621569,623324,625367,627270,630339,632596,635530,639734
440,"Portland-Vancouver-Salem, OR-WA CSA",2928121,2958720,2987218,3013055,3052326,3101843,3157062,3201058
444,"Pueblo-Ca�on City, CO CSA",206293,207486,207710,207330,207494,209247,211740,214034
446,"Pullman-Moscow, WA-ID CSA",82013,82783,84618,84924,85256,86575,87320,88379
448,"Quincy-Hannibal, IL-MO CSA",116345,116463,116214,116029,116140,115998,115651,115059
450,"Raleigh-Durham-Chapel Hill, NC CSA",1922538,1959473,1997896,2034702,2073279,2113587,2157711,2199459
452,"Rapid City-Spearfish, SD CSA",159209,160558,162728,165704,167446,168153,170062,172279
454,"Redding-Red Bluff, CA CSA",240847,240942,241158,241361,241803,241600,242218,243847
456,"Reno-Carson City-Fernley, NV CSA",580057,581622,584508,588049,594780,601886,611502,621769
458,"Richmond-Connersville, IN CSA",93221,92781,92170,91611,90796,90340,89848,89394
462,"Rochester-Austin, MN CSA",246405,247820,248983,250918,252025,253134,255425,257846
464,"Rochester-Batavia-Seneca Falls, NY CSA",1175488,1177496,1177845,1178196,1176482,1173787,1171296,1170402
466,"Rockford-Freeport-Rochelle, IL CSA",450222,448082,445477,443637,440643,437993,436358,434408
468,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",310221,309045,307392,305265,303816,301878,300771,299581
470,"Rome-Summerville, GA CSA",122378,121898,121619,120965,120818,121139,121453,122383
472,"Sacramento-Roseville, CA CSA",2419841,2439793,2458071,2479417,2506694,2535332,2565529,2598377
474,"Saginaw-Midland-Bay City, MI CSA",391180,389974,388830,386955,384501,381971,380199,379584
476,"St. Louis-St. Charles-Farmington, MO-IL CSA",2894811,2898488,2900941,2904421,2908240,2911904,2911241,2911945
482,"Salt Lake City-Provo-Orem, UT CSA",2281566,2316220,2349932,2389967,2421933,2460131,2511412,2559350
488,"San Jose-San Francisco-Oakland, CA CSA",8173088,8271617,8379376,8489533,8605639,8712068,8785277,8837789
496,"Savannah-Hinesville-Statesboro, GA CSA",496592,508823,515735,516211,525896,531282,538490,544092
500,"Seattle-Tacoma, WA CSA",4284515,4340355,4397780,4456709,4519506,4593745,4683473,4764736
512,"Sioux City-Vermillion, IA-SD-NE CSA",182664,182879,182591,182395,182353,182424,182987,182608
515,"South Bend-Elkhart-Mishawaka, IN-MI CSA",720205,720957,720597,721621,723555,724615,725777,727604
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",667272,670555,673908,678433,685875,694973,707921,721873
520,"Springfield-Branson, MO CSA",521422,524943,528966,533272,536876,541100,544180,549423
521,"Springfield-Greenfield Town, MA CSA",694808,697815,698746,699748,701674,701499,701279,702354
522,"Springfield-Jacksonville-Lincoln, IL CSA",316350,317334,317467,315734,314798,313523,311848,309844
524,"State College-DuBois, PA CSA",235795,236403,237258,239676,240584,241204,242118,242345
525,"Steamboat Springs-Craig, CO CSA",37244,36658,36412,36684,36950,37250,37840,38351
532,"Syracuse-Auburn, NY CSA",743043,742459,741064,742073,740525,738169,734688,732444
533,"Tallahassee-Bainbridge, FL-GA CSA",397152,398851,402728,400619,402726,405030,405762,409343
534,"Toledo-Port Clinton, OH CSA",651361,650049,648640,648013,646903,645539,645086,644325
536,"Tucson-Nogales, AZ CSA",1028965,1034912,1038820,1041604,1047384,1051514,1058594,1068981
538,"Tulsa-Muskogee-Bartlesville, OK CSA",1109057,1114988,1122265,1131364,1139104,1149805,1157176,1160612
540,"Tyler-Jacksonville, TX CSA",261337,263729,265968,267514,270691,273983,277201,279967
544,"Victoria-Port Lavaca, TX CSA",115413,116094,117974,119244,120297,121473,121842,121390
545,"Virginia Beach-Norfolk, VA-NC CSA",1782464,1788877,1799923,1807572,1817129,1823073,1826030,1829195
546,"Visalia-Porterville-Hanford, CA CSA",595464,599388,602044,604338,606314,609083,610632,614594
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",9088599,9224832,9346118,9455517,9539191,9615425,9685252,9764315
554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",307658,307541,307615,307631,307305,306882,306433,307170
556,"Wichita-Arkansas City-Winfield, KS CSA",668097,669353,672266,674319,676273,678472,680301,680989
558,"Williamsport-Lock Haven, PA CSA",155453,156142,156884,156375,155738,154947,153693,152839
566,"Youngstown-Warren, OH-PA CSA",672713,669657,665065,661666,658586,653478,648287,645003
364,"Mayag�ez-San Germ�n, PR CSA",243688,240654,237542,234544,230542,226407,222137,217654
434,"Ponce-Coamo-Santa Isabel, PR CSA",432751,426490,419945,414023,406398,397960,388968,379748
490,"San Juan-Carolina, PR CSA",2662239,2633135,2603415,2575521,2534876,2492426,2446209,2398030
